Title,URL,Sub
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,Machine Learning
Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Data Analysis
Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Data Analysis
Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business,Business Essentials
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Machine Learning
IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Machine Learning
IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Machine Learning
Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,Data Analysis
Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,Machine Learning
Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,Data Management
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Security
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,Software Development
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,Design and Product
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Cloud Computing
Python for Everybody Specialization,https://www.coursera.org/specializations/python,Software Development
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,Cloud Computing
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,Data Management
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Machine Learning
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,Business Essentials
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,Mobile and Web Development
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,Algorithms
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Finance
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,Data Analysis
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,Finance
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Machine Learning
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Business Essentials
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Data Analysis
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Business Essentials
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,Data Analysis
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Finance
